Song,Movie,Year,Raga,Musician,Lyricist,Singers,Song_ID,Movie_ID,Song_URL,Movie_URL
Dheem thanana,Soothradhaaran,2001,Aarabhi,Raveendran,"S Ramesan Nair, Traditional (Thyagaraja)",MG Sreekumar,9038,1967,https://en.msidb.org/s.php?9038,https://en.msidb.org/m.php?1967
Praseetha [F],Illathe Kilikkoodu,2003,Aarabhi,Raveendran,Yusufali Kecheri,KS Chithra,19091,3820,https://en.msidb.org/s.php?19091,https://en.msidb.org/m.php?3820
Mandaarappoo,Njaan Salpperu Raamankutty,2004,Aarabhi,Raveendran,Beeyar Prasad,Radhika Thilak,8748,4194,https://en.msidb.org/s.php?8748,https://en.msidb.org/m.php?4194
Mandaarappooventhe [D],Njaan Salpperu Raamankutty,2004,Aarabhi,Raveendran,Beeyar Prasad,"MG Sreekumar, Radhika Thilak",17650,4194,https://en.msidb.org/s.php?17650,https://en.msidb.org/m.php?4194
Navaraathri,Maanikyan (Kadhayile Raajakumaaran),2005,Aarabhi,Thej Mervin,Gireesh Puthenchery,KS Chithra,10912,3861,https://en.msidb.org/s.php?10912,https://en.msidb.org/m.php?3861
Dhanumaasappularikal,Mayookham,2005,Aarabhi,Bombay Ravi,Mankombu Gopalakrishnan,"Sujatha Mohan, Chorus",10930,344,https://en.msidb.org/s.php?10930,https://en.msidb.org/m.php?344
Jagadaananda,Aananda Bhairavi,2007,Aarabhi,Veena Parthasarathy,Traditional (Thyagaraja),Arjun Krishna,13119,5505,https://en.msidb.org/s.php?13119,https://en.msidb.org/m.php?5505
Payyannur Pavithram [F],Kaalchilambu,2008,Aarabhi,Kaithapram,Kaithapram,KS Chithra,16071,6164,https://en.msidb.org/s.php?16071,https://en.msidb.org/m.php?6164
Payyannur Pavithram [M],Kaalchilambu,2008,Aarabhi,Kaithapram,Kaithapram,Deepankuran,16073,6164,https://en.msidb.org/s.php?16073,https://en.msidb.org/m.php?6164
Poo Mayile,Parunthu,2008,Aarabhi,Alex Paul,Anil Panachooran,MG Sreekumar,16480,6212,https://en.msidb.org/s.php?16480,https://en.msidb.org/m.php?6212
Ponnaalilakale,Venshankhupol [Ekadasi],2011,Aarabhi,Anil Pongummoodu,ONV Kurup,Aparna Rajeev,193120,6897,https://en.msidb.org/s.php?193120,https://en.msidb.org/m.php?6897
Mandaanila Parilaalithe,Poppins,2012,Aarabhi,Ratheesh Vegha,Shibu Chakravarthy,P Jayachandran,194225,7163,https://en.msidb.org/s.php?194225,https://en.msidb.org/m.php?7163
